,Title,location,Posting_date,job_link,DESCRIPTION,BASIC QUALIFICATIONS,PREFERRED QUALIFICATIONS,TEAM
178,ML Scientist ,"US, CA, East Palo Alto","February 25, 2019",https://www.amazon.jobs/en-gb/jobs/803526/ml-scientist,"Amazon Prime Air is the future package delivery system using unmanned aerial vehicles. With Prime Air, we're developing a system that is safe, environmentally sound and enhances the services we already provide to millions of customers. If you are seeking an iterative fast-paced environment where you can drive innovation, apply state-of-the-art technologies to solve extreme-scale real world challenges, and provide visible benefit to end-users, this is your opportunity.Come work on the Amazon Prime Air Team!We're looking for motivated computer vision and machine learning researchers or software development engineers. Candidates ideally combine superb technical, research and analytical capabilities with a demonstrated ability to get the right things done quickly and effectively.They are also comfortable collaborating with a team of top-notch researchers and software developers. We’re looking for people who innovate and love solving hard problems. You will work hard, have fun, and of course, make history!Export Control License: This position may require a deemed export control license for compliance with applicable laws and regulations. Placement is contingent on Amazon’s ability to apply for and obtain an export control license on your behalf.","· Currently enrolled in a PhD or Master’s degree program in Computer Science, Computer Vision or related field· Knowledge of fundamentals in computer vision and machine learning· Strong coding skills in, at least, one modern programming language such as C++ or Python· Strong verbal and written communication skills· Excellent problem solving ability",· Experience building/integrating complex software/hardware mission-critical systems· Experience in publishing at major vision conferences or journalsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation,Internships for students
179,Applied Scientist,"US, CA, East Palo Alto","February 25, 2019",https://www.amazon.jobs/en-gb/jobs/803520/applied-scientist,"AWS Ground Truth service is looking for an experienced machine learning scientist to contribute at the forefront of cutting edge machine learning.If you are passionate about solving hard computer vision problems we would like to talk to you.Every day will bring new and exciting challenges on the job while you:· Learn and use advanced technologies· Collaborate with internal engineering teams, leading technology companies around the world and open source community· Evangelize deep learning technologies and services· Create innovative products, and see them launched in high volume productionAs member of the software application development team in AWS AI, you will be working with cross-functional teams, customers and open source community to build deep learning applications, develop tutorials, presentation and blogs to evangelize and teach the use of deep learning, contribute to the deep learning framework development and develop new AI application and services.This position within the AWS AI team presents a unique and rare opportunity to get in on the ground floor within a fast growing business and help shape the technology, product and the business. A successful candidate will bring deep technical expertise in machine learning or high performance computing, desire to have an industry wide impact and ability to work within a fast moving, startup environment in a large company to rapidly deliver services that have a broad business impact.","· MS in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· Depth and breadth in state-of-the-art computer vision and machine learning technologies· 3+ years of hands-on experience in predictive modeling and analysis· Strong algorithm development experience· Proficient in one software language (e.g., C++, Java, Python)","· PhD in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· 5+ years of relevant experience in industry and/or academia.· Publications at top-tier peer-reviewed conferences or journals· Proven track record of innovation in creating novel algorithms and advancing the state of the art· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this roleAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.",Amazon AI
180,Data Scientist,"UK, Virtual Location - UK","February 22, 2019",https://www.amazon.jobs/en-gb/jobs/802366/data-scientist,"AWS Ground Truth service is looking for an experienced machine learning scientist to contribute at the forefront of cutting edge machine learning.If you are passionate about solving hard computer vision problems we would like to talk to you.Every day will bring new and exciting challenges on the job while you:· Learn and use advanced technologies· Collaborate with internal engineering teams, leading technology companies around the world and open source community· Evangelize deep learning technologies and services· Create innovative products, and see them launched in high volume productionAs member of the software application development team in AWS AI, you will be working with cross-functional teams, customers and open source community to build deep learning applications, develop tutorials, presentation and blogs to evangelize and teach the use of deep learning, contribute to the deep learning framework development and develop new AI application and services.This position within the AWS AI team presents a unique and rare opportunity to get in on the ground floor within a fast growing business and help shape the technology, product and the business. A successful candidate will bring deep technical expertise in machine learning or high performance computing, desire to have an industry wide impact and ability to work within a fast moving, startup environment in a large company to rapidly deliver services that have a broad business impact.","· MS in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· Depth and breadth in state-of-the-art computer vision and machine learning technologies· 5+ years of hands-on experience in predictive modeling and analysis· Strong algorithm development experience· Proficient in one software language (e.g., C++, Java, Python)","· PhD in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· 10+ years of relevant experience in industry and/or academia.· Publications at top-tier peer-reviewed conferences or journals· Proven track record of innovation in creating novel algorithms and advancing the state of the art· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this roleAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.",Amazon AI
181,Machine Learning Internship - AWS Rekognition,"IL, Tel Aviv","February 22, 2019",https://www.amazon.jobs/en-gb/jobs/802180/machine-learning-internship-aws-rekognition,"Have you ever wanted to work on machine learning challenges that will make a lasting impact on society and solve key problems that impact the experience of millions of Amazon customers? Do you like to own and solve complex, ambiguous, and hard problems? We are looking for a brilliant Senior Machine Learning Scientist who has the passion to tackle tough problems to help inform a new product from the very early stages.Together with a multi-disciplinary team of scientists, engineers, economists, product managers, and subject domain experts you will work on building a product with machine learning at its core. You will define the research and experiment strategy with an iterative approach to create machine learning models and progressively improve the results over time. We are looking for candidates who thrive in a fast paced environments and want to invent the future.","· PhD in Computer Science, Electrical Engineering, or related field· 3+ yrs. of industry experience applying fundamental machine learning algorithms to solving complex problems· 2+ yrs. experience modifying standard algorithms (e.g. changing objectives, working-out the math, implementing and scaling)· 2+ years experience in one or more major programming languages (Python, Java, C++, C, Perl/Ruby, etc.)","· PhD with a focus in machine learning· Experience in the real-time processing of high-velocity time series data· Experience working with big data and relevant techniques, e.g. unsupervised learning· Experience in building production quality and large scale deployment of applications related to machine learning· Experience with developing prototypes by manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources· Solid background in statistical learning techniques· Eager to learn new algorithms, to keep up-to-date with literature, explore new application areas and new tools· Excellent written and verbal communication skills, and the ability to clearly articulate rigorous technical concepts and considerations to non-experts· Strong problem solving skills· Experience with sequential data modelling, time-series analysis, signal decomposition, deep learning, and multi-modal learning algorithms· Track-record of novel algorithm development, e.g. publications in one or more of the following: KDD, NIPS, SIGIR, ICML, etc.· Ability to work both independently on ambiguous problems and in highly collaborative team environmentsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.",Device Software
182,Machine Learning Internship - AWS Rekognition,"IL, Haifa","February 22, 2019",https://www.amazon.jobs/en-gb/jobs/802179/machine-learning-internship-aws-rekognition,"Amazon Alexa Speech and Language Technology team aims to create a delightful experience for Amazon’s customers by making Alexa understand any spoken request quickly and accurately.As Applied Science Manager you will lead a team of talented scientists in the invention, design, development of novel ML algorithms and modeling techniques for advancing speech and language technology, testing, and deployment of technology components, supporting a range of products. This involves: Conducting and coordinating research leading to improved accuracy of automatic speech recognition (ASR) and/or natural language understanding (NLU) systems.Your responsibilities will include· Direct management of scientists.· Providing technical and scientific guidance to your team members.· Strategic planning and project management for research projects within the team.· Advancing state-of-the-art ASR technologyThe successful candidate· Leads effectively and prioritizes well.· Exhibits excellent judgment.· Hires and develops great people.· Is able to dive deep and is never out of touch with the details of the technology.· Enables and fosters creativity and innovation on her/his team.· Is results-orientated and has a consistent track record of delivery.· Thinks big, out-of-the-box and long-term.· Communicates effectively with senior management as well as with colleagues from science, engineering and business backgrounds.","· Graduate degree (Masters or PhD) in computer science, computational linguistics, electrical engineering, applied mathematics, or a related field.· Comprehensive knowledge of speech and language technology, including speech recognition and natural language understanding.· 8+ years of relevant work experience OR a PhD and 5+ years of relevant work experience.· Demonstrated leadership abilities.· Excellent written and oral communication skills (English).","· Solid research track record with peer-reviewed publications in relevant areas.· Explicit industry experience with spoken language understanding systems.· Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field· Hands-on experience in programming and machine learning.· Experience in professional software engineering best practices.· Project management experience.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Alexa AI
183,Applied Scientist,"US, WA, Seattle","February 20, 2019",https://www.amazon.jobs/en-gb/jobs/801259/applied-scientist,"Have you ever wanted to work on machine learning challenges that will make a lasting impact on society and solve key problems that impact the experience of millions of Amazon customers? Do you like to own and solve complex, ambiguous, and hard problems? We are looking for a brilliant Senior Machine Learning Scientist who has the passion to tackle tough problems to help inform a new product from the very early stages.Together with a multi-disciplinary team of scientists, engineers, economists, product managers, and subject domain experts you will work on building a product with machine learning at its core. You will define the research and experiment strategy with an iterative approach to create machine learning models and progressively improve the results over time. We are looking for candidates who thrive in a fast paced environments and want to invent the future.","· PhD in Computer Science, Electrical Engineering, or related field· 3+ yrs. of industry experience applying fundamental machine learning algorithms to solving complex problems· 2+ yrs. experience modifying standard algorithms (e.g. changing objectives, working-out the math, implementing and scaling)· 2+ years experience in one or more major programming languages (Python, Java, C++, C, Perl/Ruby, etc.)","· PhD with a focus in machine learning· Experience in the real-time processing of high-velocity time series data· Experience working with big data and relevant techniques, e.g. unsupervised learning· Experience in building production quality and large scale deployment of applications related to machine learning· Experience with developing prototypes by manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources· Solid background in statistical learning techniques· Eager to learn new algorithms, to keep up-to-date with literature, explore new application areas and new tools· Excellent written and verbal communication skills, and the ability to clearly articulate rigorous technical concepts and considerations to non-experts· Strong problem solving skills· Experience with sequential data modelling, time-series analysis, signal decomposition, deep learning, and multi-modal learning algorithms· Track-record of novel algorithm development, e.g. publications in one or more of the following: KDD, NIPS, SIGIR, ICML, etc.· Ability to work both independently on ambiguous problems and in highly collaborative team environments",Device Software
184,Applied Scientist,"US, WA, Seattle","February 20, 2019",https://www.amazon.jobs/en-gb/jobs/801231/applied-scientist,"Amazon Fashion is launching a new business for a highly strategic area for Amazon, and reinventing how customers shop for fashion. We are implementing cutting edge ML frameworks and technologies including human-in-the-loop recommender systems, active learning, computer vision, and multi-armed bandits to support a playful and engaging user experience. We are looking for applied/research scientists to conceive, prototype, evaluate, and iterate on solutions to various quantitative applied research problems. You will work closely and cross-functionally across Engineering, Product Management, User Experience Design, and Operations to build this new shopping experience that helps customers find inspiration and products they will love.Key responsibilities· Use machine learning and statistical techniques to design and implement models and recommendation strategies to improve fashion discovery.· Research and implement novel machine learning approaches and execute experiments to evaluate performance· Work closely with software engineering, and product teams to drive model/solution implementations and new feature creation· Work closely with fashion styling teams to maximize decision quality and efficiency· Establish scalable, efficient, automated processes for large scale data analyses, and model development, validation and implementation· Communicate, persuade and influence senior management· ","· Graduate degree (MS or PhD) in Computer Science, Electrical Engineering, Mathematics or Physics with strong knowledge of machine learning.· 6+ years of related work experience for a MS.· 2+ years of experience for a PhD.· Experience developing quantitative algorithms that have shipped in production software, including: (a) Experience successfully applying techniques found in the fields of machine learning/statistical learning, computer vision, collaborative filtering, information retrieval, and/or optimization, including breadth across techniques and depth in at least one technique (b) Demonstrated ability to independently query data and build prototypes· An ability to communicate ideas effectively, to listen to others’ ideas, and to collaborate to arrive at great solutions, including effective written and oral communication skills· A demonstrated mindset of continuous improvement, applied to oneself and others· A strong sense of ownership, including prioritizing the most important research for customers over specific personal research interests when the two conflict","· Experience with deep learning, topic modeling, tensor factorization, nearest neighbors approaches, and/or image processing· Experience with large scale data analysis tools such as Spark, Hadoop etc.",Amazon Fashion
185,Principal Machine Learning Scientist,"US, WA, Seattle","February 20, 2019",https://www.amazon.jobs/en-gb/jobs/801023/principal-machine-learning-scientist,"Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.As an Applied Scientist on the Sponsored Products Allocation and Pricing team, you'll be responsible for core problems within our ad server: which ads to show on the Amazon site, where to place them, and how to price them. This process relies on supervised learning (predicting clicks, conversions, relevance), reinforcement learning and black-box optimization (picking optimal ranking functions), causal models (long term shopper and retail impact of ads), advanced optimization techniques (constrained optimization with local and global constraints) and game theory (pricing ads). You'll have an opportunity to invent new approaches and publish novel scientific findings, while delivering Amazon-wide business impact.A successful candidate will be able to handle a high degree of ambiguity. They can formalize business problems as science problems, develop and evaluate cutting edge techniques, and work with engineers to build and maintain software.",• Master's Degree in Computer Science or related field• 5+ years experience working on applied research problems in academia or industry• Hands-on machine learning experience• Proficiency in at least one modern programming language,PREFERRED QUALIFICATIONS• PhD in Computer Science or related quantitative field• 8+ years experience working on applied research problems in academia or industry• Strong publication record with novel research contributions• Experience with online advertisingAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation#sspajobs #adsto,Performance Advertising
186,"Senior Manager, Pricing ML","US, WA, Seattle","February 19, 2019",https://www.amazon.jobs/en-gb/jobs/800106/senior-manager-pricing-ml,"Ever wonder how you can keep the world’s largest selection also the world’s safest and legally compliant selection? Then come join a team with the charter to monitor and classify the billions of items in the Amazon catalog to ensure compliance with various legal regulations.The Classification and Policy Platform team is looking for outstanding Senior Applied Scientists to build technology to automatically monitor the billions of products on the Amazon platform. The software and processes built by this team are a critical component of building a catalog that our customers trust.You will have an opportunity to work with cutting edge machine learning algorithms on large datasets. You will need to build Amazon scale applications running on Amazon Cloud that both leverage and create new technologies to process large volumes of data that derive patterns and conclusions from the data.We are looking for highly motivated applied scientists and engineers interested in delivering the next level of innovation to product search for Amazon. As an Applied Scientist on the CPP team, you will be responsible for working across backend, client, business development, and data engineering teams to coordinate deep-dives, inform roadmaps, visualize metrics, and create predictive models to determine how we can best serve our customers.Responsibilities include:· Designing and implementing new features and machine learned models, including the application of state-of-art deep learning to solve search matching and ranking problems, including filtering, new content indexing, and apply document understanding· Conducting and coordinating process development leading to improved and streamlined processes for model development. Strong customer focus is essential· Working closely with Product Managers to expand depth of our product insights with data, create a variety of experiments, and determine the highest-impact projects to include in planning roadmaps· Providing technical and scientific guidance to your team members· Communicating effectively with senior management as well as with colleagues from science, engineering, and business backgrounds· Being a cultural leader that ensures teams are collecting, understanding, and using data to inform every decision that impacts our customersThe successful candidate will have an established background in developing customer-facing experiences, a strong technical ability, a start-up mentality, excellent project management skills, and great communication skills.","· PHD/MS. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· At least 5+ years of hands-on experience in predictive modeling and analysis· Proficiency in model development, model validation and model implementation.· At least 2+ years hands on experience programming in R, Java, C#, C++ or other similar programming languages· Hands on experience with scripting languages such as Python, Perl· Work well in a fast-moving team environment and effectively deliver technical implementations having complex dependencies and requirements.","· 7+ years of hands-on experience applying theoretical models in an applied environment· Extensive knowledge and practical experience in several of the following areas: machine learning, statistics, deep learning, Natural Language Processing, recommendation systems, dialogue systems, informational retrieval· Significant peer reviewed scientific contributions in premier journals and conferences· Proven track in leading, mentoring, and growing teams of scientists· Experience with digital media, online advertising or retail· Proven ability to work effectively in a cross-functional team· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-expertsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Amazon Selection and Catalogue Systems
187,Applied Scientist,"US, WA, Seattle","February 19, 2019",https://www.amazon.jobs/en-gb/jobs/799894/applied-scientist,"Ever wonder how you can keep the world’s largest selection also the world’s safest and legally compliant selection? Then come join a team with the charter to monitor and classify the billions of items in the Amazon catalog to ensure compliance with various legal regulations.The Classification and Policy Platform team is looking for outstanding Senior Applied Scientists to build technology to automatically monitor the billions of products on the Amazon platform. The software and processes built by this team are a critical component of building a catalog that our customers trust.You will have an opportunity to work with cutting edge machine learning algorithms on large datasets. You will need to build Amazon scale applications running on Amazon Cloud that both leverage and create new technologies to process large volumes of data that derive patterns and conclusions from the data.We are looking for highly motivated applied scientists and engineers interested in delivering the next level of innovation to product search for Amazon. As an Applied Scientist on the CPP team, you will be responsible for working across backend, client, business development, and data engineering teams to coordinate deep-dives, inform roadmaps, visualize metrics, and create predictive models to determine how we can best serve our customers.Responsibilities include:· Designing and implementing new features and machine learned models, including the application of state-of-art deep learning to solve search matching and ranking problems, including filtering, new content indexing, and apply document understanding· Conducting and coordinating process development leading to improved and streamlined processes for model development. Strong customer focus is essential· Working closely with Product Managers to expand depth of our product insights with data, create a variety of experiments, and determine the highest-impact projects to include in planning roadmaps· Providing technical and scientific guidance to your team members· Communicating effectively with senior management as well as with colleagues from science, engineering, and business backgrounds· Being a cultural leader that ensures teams are collecting, understanding, and using data to inform every decision that impacts our customersThe successful candidate will have an established background in developing customer-facing experiences, a strong technical ability, a start-up mentality, excellent project management skills, and great communication skills.","· PHD/MS. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field· At least 5+ years of hands-on experience in predictive modeling and analysis· Proficiency in model development, model validation and model implementation.· At least 2+ years hands on experience programming in R, Java, C#, C++ or other similar programming languages· Hands on experience with scripting languages such as Python, Perl· Work well in a fast-moving team environment and effectively deliver technical implementations having complex dependencies and requirements.","· 7+ years of hands-on experience applying theoretical models in an applied environment· Extensive knowledge and practical experience in several of the following areas: machine learning, statistics, deep learning, Natural Language Processing, recommendation systems, dialogue systems, informational retrieval· Significant peer reviewed scientific contributions in premier journals and conferences· Proven track in leading, mentoring, and growing teams of scientists· Experience with digital media, online advertising or retail· Proven ability to work effectively in a cross-functional team· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-expertsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Amazon Selection and Catalogue Systems
188,Applied Scientist,"CN, Beijing","February 19, 2019",https://www.amazon.jobs/en-gb/jobs/799589/applied-scientist,"VISUAL SEARCH AND AUGMENTED REALITYBased in Palo Alto, our team is responsible for the customer solutions for Augmented Reality and camera-based product search. Our research and development efforts span these major areas: 3D reconstruction, CV for augmented reality applications, algorithms for computer vision, image matching and classification, scene text recognition, and CV for Search.As an Applied Scientist in Computer Vision in Visual Search you will:· Investigate and solve exciting and difficult challenges in image recognition, classification, augmented reality and deep learning.· Research and develop scalable computer vision and machine learning solutions to hard problems.· Design, implement, and deploy full-stack computer vision solutions for millions of Amazon customers.· Build on core technology in Visual Search.· Use the latest advances in neural networks and machine learning to bring new experiences for our customers.You are going to love this job because you will:· Be immersed in a ""critical mass” of innovative and top caliber computer vision experts in a collegial and fun environment.· Work on incredibly hard problems in computer vision that are of value in the real world.· Create world-class computer vision products.· Build on Amazon’s tools and vast technical resources.· Work in a dynamic team that provides continuous opportunities for learning and growth.Located in our Palo Alto office, you will experience the benefits of working in a dynamic, entrepreneurial environment, while leveraging the resources of Amazon.com (AMZN), one of the world's leading internet companies and work alongside other developer teams across Amazon’s businesses and technology initiatives. We provide a highly customer-centric, team-oriented, collaborative environment at our offices located on the Amazon Corporate campus in Palo Alto, CA.","* Ph.D. in Computer Science or related field, or a Master's degree with equivalent industry experience.* A minimum of one year of experience in computer vision or image processing.* Publications at top-tier peer-reviewed conferences or journals or a proven track record of industry innovation in creating novel algorithms and advancing the state of the art.* At least one year of experience in coding computer vision and machine learning algorithms in C++, C# or Java* Proficiency in MATLAB or PythonAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","· Demonstrated track record of successful projects in algorithm design and software development through the product lifecycle.· Deep learning, machine learning, information retrieval, or data mining experience.· Specific computer vision skills in object detection, recognition, 3D computer vision, and/or tracking.· 3+ years of developing computer vision and machine learning algorithms in an industrial/corporate setting· Experience leveraging and augmenting large code base and computer vision/machine libraries/toolkits to deliver new solutions.· Experience deploying solutions to AWS or cloud services a plus.· Familiarity with vision systems on mobile devices.· Excellent communication skills, solid work ethic, and a strong desire to write production-quality code.",Amazon Search
189,"Manager, ML Science, SPS ","US, WA, Seattle","February 18, 2019",https://www.amazon.jobs/en-gb/jobs/799105/manager-ml-science-sps,"Do you want to join Alexa AI -- the science team behind Amazon’s intelligence voice assistance system? Do you want to utilize cutting-edge deep-learning and machine learning algorithms to delight millions of Alexa users around the world?If your answers to these questions are “yes”, then come join the Alexa Artificial Intelligence team. We are responsible for the deep learning technology that is central to the automated ranking and arbitration to optimize for end-to-end customer satisfaction.As an Senior Applied Scientist you will work with talented peers to develop novel algorithms and modeling techniques to advance the state of the art in spoken language understanding. Your work will directly impact our customers in the form of products and services that make use of speech and language technology. You will leverage Amazon’s heterogeneous data sources and large-scale computing resources to accelerate advances in spoken language understanding.","· Master's degree in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning.· 5+ years experience in building natural language processing systems· 1+ years experience with programming languages such as C/C++, Java, Perl or Python.","· PhD in Electrical Engineering, Computer Sciences, or Mathematics with specialization in speech recognition, natural language processing, or machine learning.· 8+ years experience in building natural language processing systems· Solid Machine Learning background and familiar with standard speech and machine learning techniques.· Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field· Solid software development experience· Good written and spoken communication skills.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.speech-jobs",Alexa AI
190,"Principal Scientist, Advertising Performance","US, WA, Seattle","February 18, 2019",https://www.amazon.jobs/en-gb/jobs/798930/principal-scientist-advertising-performance,"Amazon’s Advertising technology teams build the technology infrastructure and ad serving systems to manage billions of advertising queries every day. The result is better quality advertising for publishers and more relevant ads for customers. Our infrastructure supports millions of Internet users and handles billions of queries per day, all delivered in milliseconds. Our data platform processes massive data sets to develop business intelligence and analytics that are critical for the efficiency and profitability of our advertising business.The Experimentation and Supply Optimization team is responsible for optimizing Amazon’s programmatic ad serving platform by applying advanced Machine Learning, online optimization, and predictive analytics solutions that yield superior performance for our advertisers. We are seeking an Applied Scientist with a deep curiosity about the advertising domain and passion to tackle complex problems that impact our ad serving platform.In this role, you will:· Conduct hands-on data analysis, build large-scale machine-learning and online optimization models to quickly iterate from idea to production code within days· Lead data-driven investigations into key business and operational questions related to computational advertising and communicate your results to various business and technical leaders· Conduct applied research in the area of computational advertising· Be a member of the Amazon-wide Machine Learning Community, participate in internal and external events and help recruit top technical talent· Work on a platform that spans Hadoop, Map/Reduce, Pig, Redshift, and S3 using programming languages such as Java, C++ and Python· Be an early adopter of emerging AWS big data technologies for AdTech use cases.Joining this team, you’ll experience the benefits of working in a fast-growing, fast-paced environment, while leveraging the resources of Amazon.com (AMZN), one of the world's leading Internet companies. We provide a highly customer-centric, team-oriented environment in our offices located in Palo Alto, California.","· M.S. or Ph.D. in Computer Science, Information Retrieval, Machine Learning, Natural Language Processing, Statistics, Mathematics, or related discipline· At least 3 years experience in applying Machine Learning techniques to solve real-world business problems· At least 3 years experience with major programming languages such as Java, Python, Scala, C++, and statistical modeling tools such as R, Matlab· At least 2 years of experience with at least one of the following Big Data technologies: AWS, Hadoop, Spark, Pig, Hive, Lucene/SOLR or Storm/Samza.· Driven and focused self-starters with strong written and oral communication skills.","· Published research at top-tier machine learning or data mining conferences· Knowledge of programmatic ad serving systems· Experience as a data scientist or engineer with hands-on experience with large scale data sets, defining and scoping business problems, executing relevant analyses and communicating actionable insights.",Multichannel Advertising
191,Senior Applied Scientist,"US, WA, Seattle","February 18, 2019",https://www.amazon.jobs/en-gb/jobs/798885/senior-applied-scientist,"As a lead in e-Commerce, Amazon is building the authoritative knowledge base for every product in the world. With hundreds of millions of customers and billions of products, Amazon will offer a challenging but fun journey to turn this big and rapidly changing data into high-quality knowledge, and the great opportunities to impact various aspects of eCommerce. We look for research scientists who love big data, who are passionate about improving quality of data, and who are capable of inventing machine learning and data cleaning techniques that will leave no valuable data behind.The Product Graph team at Amazon, based in Seattle, has multiple positions for applied scientists with expertise in knowledge management, data cleaning and integration, natural language processing, machine learning, and graph processing. Our applied scientists work closely with software engineers to put algorithms into practice. They also work in partnership with teams across Amazon to create enormous benefits for our customers.We target at inventing advanced solutions for automatic knowledge collection and knowledge cleaning. Our scientists will survey state-of-the-art techniques to increase coverage and quality of knowledge, conduct extensive empirical comparison of existing solutions, and invent new algorithms or models that push the envelope for product knowledge and for generic knowledge management. The research topics will include, but are not limited to, the following.· Human-in-the-loop knowledge learning· Fact and feature extraction from product descriptions and reviews· Knowledge extraction from the Web combining Open IE and Close IE techniques· Product trend discovery from web· Large-scale collective entity resolution· Quantitative and logical error detection· Knowledge verification from external sources· Leveraging structured knowledge in deep learning· Personalization using personal knowledge base","· PhD in Computer Science, Machine Learning, Data Quality, Statistics or a related quantitative field· 3+ years of hands-on experience in knowledge management, data integration, data quality, NLP, or graph processing· Algorithm development experience· Experience with Java, C++, or other programming language, as well as with Scala, MATLAB, Python or similar scripting language",· 10+ years of relevant experience in industry and/or academia.· Publications in top venues· Problem solving ability· Communication and data presentation skills.Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.,"Retail Category Management: Grocery, Household & Personal Goods"
192,Applied Scientist Fall/Winter 2019 Internship - Natural Language Processing ,"US, WA, Seattle","February 13, 2019",https://www.amazon.jobs/en-gb/jobs/796821/applied-scientist-fall-winter-2019-internship-natural-language-processing,"The Consumer Cloud Security (C2S) group is responsible for the protection of customer and corporate data. We are connected to all parts of Amazon's business and it’s massive, worldwide service-oriented architecture. We are starting the work on a new mission critical system that will preserve and improve the trusted experience that Amazon provides to its customers. This is a greenfield initiative with plenty of opportunity for innovation in the security space through new machine learning techniques.We are seeking a talented, self-directed Data Scientist to work on the cutting edge security technologies. You'll design and run experiments, research new algorithms, and find new ways of protecting Amazon's customer trust. Besides theoretical analysis and innovation, you will work closely with talented engineers to put your algorithms and models into practice. You should thrive in ambiguous environments that require to find solutions to problems that have not been solved before. You enjoy and succeed in fast paced environments where learning new concepts quickly is a must. You leverage your exceptional technical expertise, a sound understanding of the fundamentals of Computer Science, and practical experience in building large-scale distributed systems. Your strong communication skills enable you to work effectively with both business and technical partners.Key responsibilities:· Process and analyze large data sets using as many techniques as necessary· Deliver scalable models that can analyze large data sets efficiently· Build mathematical models to detect and classify specific data elements with high accuracy· Prototype these models by using high-level modeling languages such as R or in software languages such as Python. A software team will be working with you to transform prototypes into production.· Create, enhance, and maintain technical documentation, and present to other scientists and business leaders.","· Masters in computer science or in a quantitative discipline (e.g. statistics, data science etc.)· 3+ years of industry experience· Fluency in a high-level modeling language such as R, Python, Matlab or other statistical software· Strong communication, influencing and partnership skills· Ability to navigate conflicting priorities and ambiguous problem space(s)","· Previous experience with machine learning, statistical modeling, data mining, and analytics techniques.· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations.· Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiences.",Information Security
